Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Sep 14, 2018",223.84,225.75,226.84,222.52,32.00M
"Sep 13, 2018",226.41,223.52,228.35,222.57,41.71M
"Sep 12, 2018",221.07,224.94,225.0,219.84,49.28M
"Sep 11, 2018",223.85,218.01,224.3,216.56,35.75M
"Sep 10, 2018",218.33,220.95,221.85,216.47,39.52M
"Sep 07, 2018",221.3,221.85,225.37,220.71,37.62M
"Sep 06, 2018",223.1,226.23,227.35,221.3,34.29M
"Sep 05, 2018",226.87,228.99,229.67,225.1,33.33M
"Sep 04, 2018",228.36,228.41,229.18,226.63,27.39M
"Aug 31, 2018",227.63,226.51,228.87,226.0,43.34M
"Aug 30, 2018",225.03,223.25,228.26,222.4,48.79M
"Aug 29, 2018",222.98,220.15,223.49,219.41,27.25M
"Aug 28, 2018",219.7,219.01,220.54,218.92,22.78M
"Aug 27, 2018",217.94,217.15,218.74,216.33,20.53M
"Aug 24, 2018",216.16,216.6,216.9,215.11,18.48M
"Aug 23, 2018",215.49,214.65,217.05,214.6,18.88M
"Aug 22, 2018",215.05,214.1,216.36,213.84,19.02M
"Aug 21, 2018",215.04,216.8,217.19,214.03,26.16M
"Aug 20, 2018",215.46,218.1,219.18,215.11,30.29M
"Aug 17, 2018",217.58,213.44,217.95,213.16,35.43M
"Aug 16, 2018",213.32,211.75,213.81,211.47,28.50M
"Aug 15, 2018",210.24,209.22,210.74,208.33,28.81M
"Aug 14, 2018",209.75,210.16,210.56,208.26,20.75M
"Aug 13, 2018",208.87,207.7,210.95,207.7,25.89M
"Aug 10, 2018",207.53,207.36,209.1,206.67,24.61M
"Aug 09, 2018",208.88,207.28,209.78,207.2,23.49M
"Aug 08, 2018",207.25,206.05,207.81,204.52,22.53M
"Aug 07, 2018",207.11,209.32,209.5,206.76,25.59M
"Aug 06, 2018",209.07,208.0,209.25,207.07,25.43M
"Aug 03, 2018",207.99,207.03,208.74,205.48,33.45M
"Aug 02, 2018",207.39,200.58,208.38,200.35,62.40M
"Aug 01, 2018",201.5,199.13,201.76,197.31,67.94M
"Jul 31, 2018",190.29,190.3,192.14,189.34,39.37M
"Jul 30, 2018",189.91,191.9,192.2,189.07,21.03M
"Jul 27, 2018",190.98,194.99,195.19,190.1,24.02M
"Jul 26, 2018",194.21,194.61,195.96,193.61,19.08M
"Jul 25, 2018",194.82,193.06,194.85,192.43,16.83M
"Jul 24, 2018",193.0,192.45,193.66,192.05,18.70M
"Jul 23, 2018",191.61,190.68,191.96,189.56,15.99M
"Jul 20, 2018",191.44,191.78,192.43,190.17,20.71M
"Jul 19, 2018",191.88,189.69,192.55,189.69,20.29M
"Jul 18, 2018",190.4,191.78,191.8,189.93,16.39M
"Jul 17, 2018",191.45,189.75,191.87,189.2,15.53M
"Jul 16, 2018",190.91,191.52,192.65,190.41,15.04M
"Jul 13, 2018",191.33,191.08,191.84,190.9,12.52M
"Jul 12, 2018",191.03,189.53,191.41,189.31,18.04M
"Jul 11, 2018",187.88,188.5,189.78,187.61,18.83M
"Jul 10, 2018",190.35,190.71,191.28,190.18,15.94M
"Jul 09, 2018",190.58,189.5,190.68,189.3,19.76M
"Jul 06, 2018",187.97,185.42,188.43,185.2,17.49M
"Jul 05, 2018",185.4,185.26,186.41,184.28,16.60M
"Jul 03, 2018",183.92,187.79,187.95,183.54,13.95M
"Jul 02, 2018",187.18,183.82,187.3,183.42,17.73M
"Jun 29, 2018",185.11,186.29,187.19,182.91,22.74M
"Jun 28, 2018",185.5,184.1,186.21,183.8,17.37M
"Jun 27, 2018",184.16,185.23,187.28,184.03,25.29M
"Jun 26, 2018",184.43,182.99,186.53,182.54,24.57M
"Jun 25, 2018",182.17,183.4,184.92,180.73,31.66M
"Jun 22, 2018",184.92,186.12,186.15,184.7,27.20M
"Jun 21, 2018",185.46,187.25,188.35,184.94,25.71M
"Jun 20, 2018",186.5,186.35,187.2,185.73,20.63M
"Jun 19, 2018",185.69,185.14,186.33,183.45,33.58M
"Jun 18, 2018",188.74,187.88,189.22,187.2,18.48M
"Jun 15, 2018",188.84,190.03,190.16,188.26,61.72M
"Jun 14, 2018",190.8,191.55,191.57,190.22,21.61M
"Jun 13, 2018",190.7,192.42,192.88,190.44,21.64M
"Jun 12, 2018",192.28,191.38,192.61,191.15,16.91M
"Jun 11, 2018",191.23,191.35,191.97,190.21,18.31M
"Jun 08, 2018",191.7,191.17,192.0,189.77,26.66M
"Jun 07, 2018",193.46,194.14,194.2,192.34,21.35M
"Jun 06, 2018",193.98,193.63,194.08,191.92,20.93M
"Jun 05, 2018",193.31,193.06,193.94,192.36,21.57M
"Jun 04, 2018",191.83,191.63,193.42,191.35,26.27M
"Jun 01, 2018",190.24,187.99,190.26,187.75,23.44M
"May 31, 2018",186.87,187.22,188.23,186.14,27.48M
"May 30, 2018",187.5,187.72,188.0,186.78,18.69M
"May 29, 2018",187.9,187.6,188.75,186.87,22.51M
"May 25, 2018",188.58,188.23,189.65,187.65,17.46M
"May 24, 2018",188.15,188.77,188.84,186.21,23.23M
"May 23, 2018",188.36,186.35,188.5,185.76,20.06M
"May 22, 2018",187.16,188.38,188.88,186.78,15.24M
"May 21, 2018",187.63,188.0,189.27,186.91,18.40M
"May 18, 2018",186.31,187.19,187.81,186.13,18.30M
"May 17, 2018",186.99,188.0,188.91,186.36,17.29M
